,file,text
0,dirlkit-quvxaym.wav-3119.wav,طلق النكات اما الوالد فقليل فاش كيتبسم ولا يهضر في الخاوي ولكن قدر أبوحفص بشي طريقة يكون أقرب صديق لوالد في حياتو هنا في أفغانستان عرفت الواليد كثر مللي كنت كنعرفو من قبل كنت قريب ليه و هدشي خلاني نعرف طبايعو مزيان ويتيق فيا ويحكي ليا شحاله من حاجه دوزها ف صغر مع والديه حتى هو كلى العصا من عند باه بواحد اشكل خايب
1,dirlkit-agttghs.wav-74.wav,حاجه وحدة لي مبرزطاني هيا كيفاش شدوني عندهم في الصبيطار هد المدة كامله خوكم غير من الطبقة الحازقه مكانكسبو ريال أومعند دارنا منين يجيبو الفلوس باش نبقى من نشور كثر من عاملين في صبيطار بقى طبيب كيشرح ليه فحالتي و أنا كانت تستناه عفوقاش إسكت ومكيتقاداش زعمت عليه و قلت ليه
2,dirlkit-quvxaym.wav-3299.wav,دازو شي يامات أو بداو تقارير صحافية دولية كيكولو بلي تنظيم ت القاعدة للي كيتزعمو الوالد ولي واقف مورالتفجير ت السفينة الحربية واش هدي زعمايا الهجمة لي قالي داك دري صاحبي الحدس ديالي قاللي لا حيت عشار الرواح  لي طاحت في الهجوم قلم من تدمير لي وقع فالهجوم تالسفارات جداتي مت الوالد جاتها دعوة من أفغانستان
3,dirlkit-mzhcbeg.wav-2468.wav,أ الواعد ولا لبحركيف مطرا لبزاف دولاد الحومه ف بورقراق فلاهما تكونو بين طنجة أو سبانيا تمن الحلم بلعيشة ف قاره أخرة نرجعو للصطاح للي تجبدنا فيه أنا  وعبد رحمان كل واحد مفرش نص بطانيا باليا ومغطي ب نص لاخر جو زوين سما عامرا بالنجوم طياب لعنب طالق علينا صوتو اللي حول نجوم أو تواسع د الصطاح
4,dirlkit-hpdsuln.wav-1651.wav,دخلنا عاود القصر مشى حتال عند واحد القبطان سميتو بوجمعه من الناس القراب ل مولاي عبد الله كاليه عبابو نتا عارف فين خباو هاد الخونة الماليك و مباغيش تكول القبطان نفى اقسيم بلله  ا مون كولونيل معارف شي حاجه عاود عبابو نفس سؤال ورد عليها بوجمعه بنفس الجواب أو هاد القضية
5,dirlkit-honnbdk.wav-1242.wav,تفكر داكشي اللي ينسا تصحة هد سينين كامله حياتهم ولات كتبدا بطواليط تصطيله لوضو كتسالي بالمصاوط أو العسكر أو التفرشيخ تفكرو الناس بالي كاينه حياة خرا على برا أو هديك هي الأصل هدشي اللي واقع دابا هولإكسيبسيو كيسرح بنادم بعقلو الوالدين الناس الي عزاز عليه أو كتبقى دور ليك بزاف د الأسئلة ف راسك فين
6,dirlkit-quvxaym.wav-2978.wav,ا جوج واحد انهار زهو يهز وحده من البلاغي ديالنا أوشير علينا بيها ولات حاجه عادية ف حياتنا يتغطا ظهرنا أو رجلينا بالأتار ديال ضرب أو اتفرشيخ لي كايعطينا من قبل في لسعودية كانو شوافريات ديالنا هما للي كيعطفو علينا فاش عرفو بلي الواليد مزيرنا لواحد الدرجة خايبه بداو كيضبرو عليينا ف شويه د الصريف وخا
7,dirlkit-mzhcbeg.wav-2660.wav,كلتليهم عمتي أو وعلاش مطلقاش بالك يربي ف ولد ما ديالوش نقزات جدة قمعاتها أو كاتليها راه كتليك موكلاه أو باينه حتى نتي شاد فيك السحور لي كتمشي تزوريها مورا ضهري نتي را ماشي غا دقتي من مخق ظبع نتي راكليتي وشبعتي هنا طلقات ديك الباتول واحد ضحكه أو دارت لعند عمي حميد كاتليه فوقاش غادي نفرحو ب
8,dirlkit-agttghs.wav-351.wav,راحنا فالمغرب  ا معلم فأي لحظة يقدرو يقرقبو عليا كاليه سيمو اجي علاش منديروش مع المحامي نفس البلان الي درنا مع البزناس المينية تفكها أصاحبي كتليه هديك الخربه غنصلحوها أو نطلقوها حيت لا بقات تحت يدينا غدي تكدمنا من هاد النهار بدات الحضيه
9,dirlkit-hpdsuln.wav-1915.wav,داز شهر أو هو كيتحاور مع دوك اصوات مراها بدا كيغوت على صحابو ف الفوج ولي كاينين فالكاشو التاني ممعاناش هنا من لي ملقا جواب صحابليه  واش تلقو صراح عشرانو أو هنا بدا كيخبط في الباب ت الحديد بجهدو كامل و هشنو كان هن كيكول تلقوني   باغي نخرج فحالي 
10,dirlkit-hpdsuln.wav-1845.wav,وحطو بلاصتها بلاكا مكتوب فيها بنادم تايب مدجن أو مروض أو زيد عليها مزعزع من الفوق الفصل د شتا كان راخي دقو علينا البياصة لي كنعسو عليها ولات بحال شي طرف ديال الثلج أو مبقاو دوك المانط كيقديو غرض مع هاد الجو زيد على هدا الماكله لي مكاتنفع ف والو وروايح د نم و لوكسيجين طايح
11,dirlkit-honnbdk.wav-1231.wav,أه فهمت كيف غادي يسالي هدشي واشنو باغي يديرو لينا واش غادي يطحنونا فموليناكس عاوتاني  شوفو واش نرجعو لبلوكات أولا لا سقيل كلمه وحده ماكتسمعهاش لا سبان لا والو بنادم كيزيد يتبنج و كينخر ليك داك البرد العظام ديالك النيف الودنين ليدين رجلين هدشي كامل مديك
12,dirlkit-agttghs.wav-257.wav,كناخدو تريبورتور عندك كالوشة واحد من الدراري لي ف المارشي كنكول ليه راه محتاجو نجيب شي لعيبة لدار كيدير لمزيان اليوم غناخدو من عندو باش نجيب دوك لبونجات ديال ليزولاسيو كوستيك باش لصوت ميخرجش على برا فاش وصلات طناش مشيت تقديت دوك البونجات أو طلعتهم لخربه مع الحلة د الباب بدا خونا كيخربق ففمو لحت داكشي و هبطت فحالي لدار
13,dirlkit-honnbdk.wav-1050.wav,هاكنخربق تلقاهم مساكن مرونين كيديرو لي فجهدهم هدشي لي دار لي فدماغي زرع لي شوي د الأمال نقطه بيضه فطابلو كحل مكراهتش شي حد نعاود ليا هدشي أونشكي عليه ولكن دايره بيا غير الحاقد على أخوها وجوه تشوفهوم الحامله يطيح ليها الولد داز دابا نص عام باش قلبو عليا بالمعقول كليمات قلال مع شاف د البلوك إلا كانت شي حاجه ضرورية
14,dirlkit-quvxaym.wav-2939.wav,الوالد وخا اظطر يخرج من سعودية  فنفي ديالو جا بسباب الختيلاف لي كان عندهم على العاىلة الملكية ماشي مع المواطنين العاديين النفود ديال الواليد خلى كلشي فالمطار ديال الخرطوم يدوز طرونكل تا دوك شكليات ديال الباسبورات و ديوانة مدزناش منا طلعونا فطونوبيلات كحلين و شدو بينا الطريق وصلنا لواحد البلاصه ف الخرجة هد المدينة
15,dirlkit-quvxaym.wav-3279.wav,رجال مشيت عندو باش ندوي معاه هو ميك عليا كتليه أ با را مقلقاني الصحة د مي راه واصله لواحد العمر الي الولادة صعيبه عليها واش تسمحلي نديها لمها في سوريا تما بعدا غادا تولد فظروف مزيانه شاف فيا مجاوبنيش وزاد  عرفت بلي مبقيتش كنسوا تا لعبه عند الوالد ول
16,dirlkit-quvxaym.wav-2878.wav,كاع كانو كيتوقعو يشدوهم في الحبس حيتاش كانو مسؤولين على كسيدة لي فيها دري مجروح درنا أنا وخوتي بسعد لي كان طايح ف الارض و تخيلو أن الكسيدة مقدراتش تخرص لسانو أو بقى كيدمدم و ينوح هنا عرفنا بلي جروح ديالو مكانتش خطيرة جات لومبيلونس هزاتو أو مبقيتش عاقل شكون لي فالفاميلة خدا القرار باش متوصل الوالد تا خبار على هدشي اللي وقع
17,dirlkit-agttghs.wav-101.wav,ميت لعاصر ميدي خبار ما يجيب اخر كلت ليه سمح لي راه يمكن أنا للي غالط خليتو دتد لحجام اللي حداه با لهيبي مع طليت عليه لقيتو خدامه كيقرع ل واحد خينة كلت ليه الله يعاون ا با الهيبي مع دورة شافني لاح موس الحسانه أو جا عنقني
18,dirlkit-erlatsw.wav-564.wav,على حقو وطريقو صقيل لي كان طاغي تهرس بتكرشيخة ديال ضحك تلكلاص كاملو لبروف شاف داك المنظر ناض بدا كيسب ف القيسم وجراعلينا كاملين كلشي خارج فرحان واخا كالينا مادخلو حتى تجيبو واليديكم هانية يلا جات ف كلشي دقة كاتهون في لخر دلعام ماساكرانا في النقط بطبيعة الحال أنا حطلي شي ربعه ولا خمسة معقلتش بضبط صراحة مكتبة دارت لمزيان باش نطل
19,dirlkit-quvxaym.wav-2971.wav,كانت واحد المعاناة خايبة ف الغياب ديال الكليمه مناخ د السودان الحار مكانش ساهل تا واحد من خوتي مكان متافق معا هد الأفكار ديال الواليد اما عيالاتو معرفناش حيت ما كانوش كيعبرو على الأراء ديالهم بديت أنا  وخوتي كنوركو على دوك البطونات اللي ف الكليماتيزور فاش كيكون والد مسافر خارج الخرطوم ولكن فاش كتحصلنا أمي أو كتخلع
20,dirlkit-agttghs.wav-458.wav,معرفوش كلشي باش لقا طبيب فلامان ربي ستاجب أو معا وقف طاكسي لقيت طبيب يالاه دخل عمارة خلصت الشيفور كتليه خلي ليك الباقي غير باش نربح الوقت شقمت طبيب حدا باب اسانسور ركبنا بجوج ما معانا حد كنت نقدر نجبد لكاطورزا أونرشكها ليه ولكن غادي يموت بلا ما يعرف السباب
21,dirlkit-agttghs.wav-392.wav,ماشي هدا هو المشكل اللكبير للي مبرزطني هاد اساعة هو لا شقموني قبل ما نعفس على حياة طبيب مكنبغيشني إيما جيني هاد سينوري أوحيت كيبان لي هو أقوض حاجة تقدرت وقع علي غدي نحاول نزرب على هدخونة اللي باقي علي كيفاش أما نعرف مزال دما غير مشقل ب هاد الساعة منقدرش نفكرف شنو نديرو
22,dirlkit-honnbdk.wav-1251.wav,ساد عيني وشاد الخيارة ف أيدي كنجر نفس تال لماكس الريحه كتزعزع ليا دماغي فاش حليت عيني لقيت
23,dirlkit-quvxaym.wav-2908.wav,أش حيت الحكم ديالو ديكتاتوي علماني فأرض إسلاميه ومكاينش شي إهانة كترمن هادي في الإسلام الواليد را حتى طبع القاصح ديال صدام أوكال بلي زعيم ديال جيش كبير كيف هادا مغاديش يحبس حتي ينوض شي حرب الواليد شاف بلي صدام اللي متقل ب الكريديات ماشي بعيد يطمع ف جيران اللي ميسرة عليهم ماديا وهاد الأفكار محتافطش بيهم الواليد في الداخ
24,dirlkit-erlatsw.wav-836.wav,ماشي معقوله نخبي عليها شي حاجه بحال هادي درت مع لامية واحد انهار أو تلاقينا مشيت عوال نفرتك رمانة لأول مرة غادي نعاود هدشي لشي حد ت حد ما ف راسو شنو درت وما كانظنش شي واحد غادي يطيح ليه فالبال باللي شفرت محال ديال دهب كتليها سمعي شنو غدي نكول ليك حتى نسالي أو كوليا شنو بان ليك
